Food Code; code,Food Name; name,Local Name; lang,Energy; enerc,Total Fat; fatce,Dietary Fiber; fibtg,Carbohydrate; choavldf,Protein; protcnt
D042,RIEWHADEM LUNG,KH,306,1.33,6.09,11.66,2.69
D042,"CORN, BABY",KASH. MAKAI; KH. RIEWHADEM LUNG; M. CHUJAAK; P. SHOTI SHALLI.,306,1.33,6.09,11.66,2.69
D043,"KHEERA, KACHUMBAR",H,82,0.16,2.14,3.48,0.71
D043,KAKDI,G,82,0.16,2.14,3.48,0.71
D043,SOSHA,B,82,0.16,2.14,3.48,0.71
D043,TIYOH,A,82,0.16,2.14,3.48,0.71
D043,KHEERA,U,82,0.16,2.14,3.48,0.71
D043,DOSA KAYA,TEL,82,0.16,2.14,3.48,0.71
D043,VELLARIKKAI,TAM,82,0.16,2.14,3.48,0.71
D043,PATOLAH,S,82,0.16,2.14,3.48,0.71
D043,KHIRA,P,82,0.16,2.14,3.48,0.71
D043,KAKUDI,O,82,0.16,2.14,3.48,0.71
D043,KAKRO,N,82,0.16,2.14,3.48,0.71
D043,KAKADI,MAR,82,0.16,2.14,3.48,0.71
D043,THABI,M,82,0.16,2.14,3.48,0.71
D043,VELLARIKKA,MAL,82,0.16,2.14,3.48,0.71
D043,SOUTHE KAYI,KAN,82,0.16,2.14,3.48,0.71
D043,SOHKHIA,KH,82,0.16,2.14,3.48,0.71
D043,"CUCUMBER, GREEN, ELONGATE","A. TIYOH; B. SOSHA; G. KAKDI; H. KHEERA, KACHUMBAR; KAN. SOUTHE KAYI; KASH. LAAR; KH. SOHKHIA; MAL. VELLARIKKA; M. THABI; MAR. KAKADI; N. KAKRO; O. KAKUDI; P. KHIRA; S. PATOLAH; TAM. VELLARIKKAI; TEL. DOSA KAYA; U. KHEERA.",82,0.16,2.14,3.48,0.71
D043,LAAR,KASH,82,0.16,2.14,3.48,0.71
